oferta_id,tienda,categoria,producto,precio,stock,fecha
Riploy-1,Riploy,Belleza,Belleza XL,90424,99,2025-10-20 21:22:45
Riploy-2,Riploy,Electrodomésticos,Electrodomésticos XL,251068,89,2025-10-20 21:22:47
Riploy-3,Riploy,Belleza,Belleza Max,23010,28,2025-10-20 21:22:48
Riploy-4,Riploy,Deportes,Deportes Pack,68332,107,2025-10-20 21:22:50
Riploy-5,Riploy,Belleza,Belleza Plus,30126,33,2025-10-20 21:22:52
Riploy-6,Riploy,Deportes,Deportes Eco,114412,95,2025-10-20 21:22:53
Riploy-7,Riploy,Herramientas,Herramientas Eco,74434,83,2025-10-20 21:22:54
Riploy-8,Riploy,Juguetes,Juguetes Smart,193067,57,2025-10-20 21:22:55
Riploy-9,Riploy,Electrodomésticos,Electrodomésticos XL,283257,70,2025-10-20 21:22:57
Riploy-10,Riploy,Infantil,Infantil Eco,30060,66,2025-10-20 21:23:00
Riploy-11,Riploy,Deportes,Deportes Eco,137295,146,2025-10-20 21:23:02
Riploy-12,Riploy,Belleza,Belleza Mini,29085,18,2025-10-20 21:23:04
Riploy-13,Riploy,Mascotas,Mascotas Smart,225289,17,2025-10-20 21:23:06
Riploy-14,Riploy,Infantil,Infantil Max,169101,35,2025-10-20 21:23:07
Riploy-18,Riploy,Herramientas,Herramientas Pro,235917,8,2025-10-20 21:23:13
Riploy-19,Riploy,Deportes,Deportes Eco,156017,88,2025-10-20 21:23:15
Riploy-20,Riploy,Infantil,Infantil Kit,8998,112,2025-10-20 21:23:18
Riploy-21,Riploy,Mascotas,Mascotas Smart,286081,17,2025-10-20 21:23:20
Riploy-22,Riploy,Juguetes,Juguetes Smart,242152,54,2025-10-20 21:23:22
Riploy-23,Riploy,Infantil,Infantil Eco,12847,95,2025-10-20 21:23:25
Riploy-24,Riploy,Juguetes,Juguetes XL,178378,85,2025-10-20 21:23:27
Riploy-25,Riploy,Deportes,Deportes Smart,128715,106,2025-10-20 21:23:28
Riploy-26,Riploy,Juguetes,Juguetes Eco,73395,106,2025-10-20 21:23:31
Riploy-27,Riploy,Automotriz,Automotriz Mini,188670,53,2025-10-20 21:23:33
Riploy-28,Riploy,Belleza,Belleza Max,27435,36,2025-10-20 21:23:35
